,sow_estimated_net_worth_value
127,1.0
48,0.0
487,0.0
409,0.0
225,1.0
339,0.0
239,1.0
523,0.0
593,0.0
412,0.0
437,0.0
361,0.0
577,0.0
597,0.0
369,0.0
333,0.0
200,1.0
299,1.0
298,1.0
306,1.0
235,1.0
92,1.0
222,0.0
196,1.0
229,1.0
501,0.0
14,0.0
52,1.0
385,0.0
540,0.0
485,0.0
142,0.0
230,1.0
568,0.0
1,0.0
433,0.0
319,0.0
563,0.0
390,0.0
246,1.0
376,0.0
8,0.0
118,1.0
17,0.0
301,1.0
21,0.0
456,0.0
475,0.0
379,0.0
187,1.0
428,0.0
162,0.0
210,1.0
243,0.0
186,1.0
453,0.0
579,0.0
325,0.0
172,1.0
345,0.0
213,0.0
480,0.0
181,0.0
481,0.0
538,0.0
37,1.0
103,1.0
354,0.0
34,1.0
178,0.0
64,0.0
85,1.0
384,0.0
380,0.0
476,0.0
343,0.0
282,1.0
12,0.0
372,0.0
266,1.0
50,0.0
31,1.0
78,1.0
66,1.0
522,0.0
415,0.0
252,1.0
549,0.0
417,0.0
525,0.0
332,0.0
435,0.0
15,0.0
122,1.0
45,0.0
6,0.0
165,1.0
157,0.0
261,1.0
75,0.0
10,0.0
585,0.0
556,0.0
285,1.0
483,0.0
589,0.0
422,0.0
202,1.0
293,0.0
590,0.0
308,1.0
436,0.0
193,1.0
524,0.0
283,1.0
55,0.0
90,0.0
389,0.0
391,0.0
520,0.0
382,0.0
536,0.0
572,0.0
494,0.0
338,0.0
438,0.0
249,0.0
62,0.0
401,0.0
231,1.0
242,0.0
397,0.0
132,1.0
553,0.0
271,0.0
240,0.0
233,1.0
478,0.0
170,1.0
403,0.0
96,1.0
245,1.0
519,0.0
190,1.0
89,0.0
264,1.0
206,0.0
247,1.0
46,0.0
262,0.0
